suite,delay_ms,jitter_ms,rate_mbps,loss_pct,loss_correlation_pct,queue_depth_packets,common_link_category,algorithm,n_trials,n_valid_throughput,mean_throughput_mbps,median_throughput_mbps,std_throughput_mbps,sem_throughput_mbps,ci95_throughput_mbps,mean_utilization,median_utilization,std_utilization,sem_utilization,ci95_utilization,mean_retransmits,mean_retransmits_per_second,std_retransmits_per_second,sem_retransmits_per_second,ci95_retransmits_per_second,mean_rtt_ms,p95_rtt_ms,mean_cwnd_bytes,mean_snd_wnd_bytes,mean_convergence_time_s,ci95_convergence_time_s
common_links,500.0,50.0,20.0,1.0,0.0,1667,Geo 500Ms,reno,5,5,0.2551538470203833,0.2504956869536365,0.027754237127825168,0.012412072176293119,0.03446143703923082,0.012757692351019164,0.012524784347681825,0.0013877118563912587,0.0006206036088146561,0.0017230718519615413,39.6,0.22000039029562876,0.013380276879512185,0.005983841732071601,0.016613808087288514,,,,,,
common_links,500.0,50.0,20.0,1.0,0.0,1667,Geo 500Ms,vegas,5,5,0.2598135631639134,0.25631851227415803,0.00781600019756987,0.003495421550783603,0.009704846055276033,0.012990678158195667,0.012815925613707901,0.0003908000098784933,0.00017477107753918007,0.00048524230276380143,40.2,0.22333312800203706,0.01068722161723325,0.004779470805347757,0.013269938322943563,,,,,,
common_links,1000.0,100.0,10.0,3.0,0.0,1667,Geo 1000Ms,bbrv3,5,5,6.887980144102492,7.5905299628912,1.0456607551351964,0.46763370597721227,1.2983593139859375,0.6887980144102493,0.7590529962891199,0.10456607551351961,0.04676337059772121,0.12983593139859373,3374.2,18.745557250884534,3.125481992093239,1.3977580393543885,3.880798466616364,,,,,29.8006784,35.28840580831479
common_links,1000.0,100.0,10.0,3.0,0.0,1667,Geo 1000Ms,cubic,5,5,0.17359776758994258,0.1689380149895017,0.021561217286609348,0.009642469506100412,0.026771787262231526,0.017359776758994264,0.01689380149895017,0.0021561217286609354,0.0009642469506100416,0.0026771787262231538,84.4,0.4688894255690731,0.036129971533022054,0.01615781447459392,0.04486128490868043,,,,,98.003021,0.0
common_links,1000.0,100.0,10.0,3.0,0.0,1667,Geo 1000Ms,reno,5,5,0.06990512697451609,0.06990495909070184,0.004119419507929724,0.0018422604095139194,0.005114934896494614,0.00699051269745161,0.006990495909070184,0.00041194195079297254,0.000184226040951392,0.0005114934896494615,33.4,0.18555572117738914,0.011520857281303582,0.005152284008013645,0.014305033714638381,,,,,,
common_links,1000.0,100.0,10.0,3.0,0.0,1667,Geo 1000Ms,vegas,5,5,0.06990516175827904,0.06990511831878186,0.004119303388497838,0.001842208479325278,0.005114790715176548,0.006990516175827906,0.006990511831878187,0.00041193033884978365,0.00018422084793252774,0.0005114790715176547,32.2,0.17888910075628903,0.009937678490419705,0.00444426492862319,0.012339257607278102,,,,,,
delay,10.0,0.0,50.0,0.0,0.0,83,,bbrv3,5,5,46.856208147042906,46.85968620262354,0.007935820654981433,0.003549006888357078,0.009853622803492279,0.937124162940858,0.9371937240524708,0.00015871641309963752,7.098013776714551e-05,0.00019707245606985656,557.8,3.0988924284747967,2.094876733138908,0.9368573559562569,2.601133020213301,,,,,3.00011,7.871111696070142e-05
delay,10.0,0.0,50.0,0.0,0.0,83,,cubic,5,5,47.82091057567111,47.82091201028916,2.4324283414802307e-05,1.0878150243893734e-05,3.0202586998264998e-05,0.9564182115134223,0.9564182402057833,4.864856682898668e-07,2.1756300487511118e-07,6.040517399576273e-07,226.4,1.257778287241206,0.02208256178144236,0.009875621852128794,0.02741912195212741,,,,,1.0003430000000002,0.00046554618187986995
delay,10.0,0.0,50.0,0.0,0.0,83,,reno,5,5,47.456170502691215,47.45368247144033,0.009761684906427155,0.004365558205140958,0.012120732710119701,0.9491234100538243,0.9490736494288066,0.00019523369812855592,8.73111641028249e-05,0.00024241465420240992,411.0,2.2833309816817535,0.041944212561629536,0.018758022110100844,0.05208061867078157,,,,,1.0000962000000002,0.00010073331597686343
delay,10.0,0.0,50.0,0.0,0.0,83,,vegas,5,5,47.102072313198526,47.809234068820096,1.5845201487115843,0.7086189528474356,1.9674416230836522,0.9420414462639706,0.9561846813764019,0.031690402974231674,0.014172379056948707,0.03934883246167303,0.0,0.0,0.0,0.0,0.0,,,,,1.0003305999999998,0.00048773424810925783
delay,20.0,0.0,50.0,0.0,0.0,167,,bbrv3,5,5,46.74086751352115,46.7431733687905,0.008883667738627653,0.003972896990618653,0.011030530403058224,0.9348173502704229,0.93486346737581,0.00017767335477255456,7.945793981237374e-05,0.00022061060806116638,93.2,0.5177772152129981,0.3411891750841184,0.15258443773503325,0.42364231527879137,,,,,3.0001588,0.00011316662188285632
delay,20.0,0.0,50.0,0.0,0.0,167,,cubic,5,5,47.822127467310125,47.82093167001414,0.002590169191631984,0.0011583588771429591,0.0032161198345059872,0.9564425493462023,0.9564186334002828,5.1803383832622714e-05,2.3167177542851592e-05,6.432239669009867e-05,58.6,0.3255560317051321,0.01501004783246226,0.006712697459781797,0.018637436004884867,,,,,1.0003585999999998,0.00045593472569411614
delay,20.0,0.0,50.0,0.0,0.0,167,,reno,5,5,47.72887257834439,47.7277126381403,0.002581756446888592,0.0011545965833182432,0.003205674032232039,0.9545774515668878,0.9545542527628059,5.163512893775794e-05,2.309193166635865e-05,6.411348064462352e-05,115.0,0.6388892010983007,0.023895372699905208,0.010686335540936145,0.02967002400513343,,,,,1.0001516000000001,3.8577603234634994e-05
delay,20.0,0.0,50.0,0.0,0.0,167,,vegas,5,5,47.813913903069874,47.81506825639268,0.0025963180112750445,0.001161108712883613,0.0032237546024882235,0.9562782780613975,0.9563013651278536,5.1926360225507854e-05,2.3222174257675373e-05,6.447509204977311e-05,0.0,0.0,0.0,0.0,0.0,,,,,1.0001802,1.7937640407807162e-05
delay,50.0,0.0,50.0,0.0,0.0,417,,bbrv3,5,5,47.10908025807352,47.12182203040255,0.057116998269224756,0.025543498160144878,0.07092012043636323,0.9421816051614703,0.942436440608051,0.0011423399653845128,0.0005108699632029054,0.0014184024087272862,0.0,0.0,0.0,0.0,0.0,,,,,1.8001075999999998,1.3601049406589403
delay,50.0,0.0,50.0,0.0,0.0,417,,cubic,5,5,47.81977423148008,47.820887037148296,0.002503055345000256,0.001119400380572952,0.003107953707398326,0.9563954846296016,0.9564177407429659,5.0061106900025135e-05,2.2388007611467995e-05,6.215907414799138e-05,57.4,0.31888922268068276,0.018257684759404473,0.008165084846758059,0.022669909856306132,,,,,1.0003264,0.00047266529606937815
